batavg,batsr,bowlavg,bowleco,bowlsr,ball_no,innings,runs
15.16,115.18,19.09,8.15,14,3.1,1,0
15.16,115.18,19.09,8.15,14,3.2,1,1
38.53,116.78,19.09,8.15,14,3.3,1,0
38.53,116.78,19.09,8.15,14,3.4,1,1
15.16,115.18,19.09,8.15,14,3.5,1,1
38.53,116.78,19.09,8.15,14,3.6,1,1
38.53,116.78,19.63,7.4,15.9,4.1,1,1
15.16,115.18,19.63,7.4,15.9,4.2,1,1
38.53,116.78,19.63,7.4,15.9,4.3,1,1
15.16,115.18,19.63,7.4,15.9,4.4,1,2
15.16,115.18,19.63,7.4,15.9,4.5,1,4
15.16,115.18,19.63,7.4,15.9,4.6,1,0
38.53,116.78,24.25,8.58,16.9,5.1,1,4
38.53,116.78,24.25,8.58,16.9,5.2,1,4
38.53,116.78,24.25,8.58,16.9,5.3,1,0
38.53,116.78,24.25,8.58,16.9,5.4,1,4
38.53,116.78,24.25,8.58,16.9,5.5,1,4
38.53,116.78,24.25,8.58,16.9,5.6,1,1
38.53,116.78,19.09,8.15,14,6.1,1,1
15.16,115.18,19.09,8.15,14,6.2,1,0
15.16,115.18,19.09,8.15,14,6.3,1,1
38.53,116.78,19.09,8.15,14,6.4,1,1
15.16,115.18,19.09,8.15,14,6.5,1,1
38.53,116.78,19.09,8.15,14,6.6,1,1
38.53,116.78,0,0,0,7.1,1,1
15.16,115.18,0,0,0,7.2,1,1
38.53,116.78,0,0,0,7.3,1,1
15.16,115.18,0,0,0,7.4,1,6
15.16,115.18,0,0,0,7.5,1,1
38.53,116.78,0,0,0,7.6,1,1
38.53,116.78,19.09,8.15,14,8.1,1,2
38.53,116.78,19.09,8.15,14,8.2,1,1
15.16,115.18,19.09,8.15,14,8.3,1,1
38.53,116.78,19.09,8.15,14,8.4,1,1
15.16,115.18,19.09,8.15,14,8.5,1,2
15.16,115.18,19.09,8.15,14,8.6,1,2
15.16,115.18,134,7.88,102,10.1,1,1
38.53,116.78,134,7.88,102,10.2,1,4
38.53,116.78,134,7.88,102,10.3,1,7
15.16,115.18,134,7.88,102,10.4,1,1
26.22,131.84,134,7.88,102,10.5,1,2
26.22,131.84,134,7.88,102,10.6,1,2
15.16,115.18,19.63,7.4,15.9,11.1,1,1
26.22,131.84,19.63,7.4,15.9,11.2,1,0
26.22,131.84,19.63,7.4,15.9,11.3,1,1
15.16,115.18,19.63,7.4,15.9,11.4,1,1
26.22,131.84,19.63,7.4,15.9,11.5,1,4
26.22,131.84,19.63,7.4,15.9,11.6,1,1
26.22,131.84,24.25,8.58,16.9,13.1,1,4
26.22,131.84,24.25,8.58,16.9,13.2,1,1
15.16,115.18,24.25,8.58,16.9,13.3,1,1
26.22,131.84,24.25,8.58,16.9,13.4,1,1
