,Player,Ave,SR,
1,S Ladda,0,0,
2,VR Aaron,0,0,
3,KJ Abbott,13,162.5,
4,AD Nath,6.66,74.07,
5,MA Agarwal,9,108,
6,HM Amla,26.16,131.93,
7,Ankit Sharma,0,100,
8,Anureet Singh,0,0,
9,S Aravind,0,0,
10,A Ashish Reddy,23.5,162.06,
11,M Ashwin,0,0,
12,R Ashwin,20.5,107.89,
13,GJ Bailey,21,85.71,
14,F Behardien,7,107.69,
15,R Bhatia,34,170,
16,SW Billings,22,137.5,
17,STR Binny,15.75,161.53,
18,Bipul Sharma,25.5,204,
19,SM Boland,0,0,
20,TA Boult,0,0,
21,CR Brathwaite,13.83,218.42,
22,DJ Bravo,12.37,120.73,
23,JJ Bumrah,8,72.72,
24,JC Buttler,23.18,138.58,
25,KC Cariappa,13,118.18,
26,YS Chahal,0,0,
27,Deepak Chahar,0,0,
28,UBT Chand,0,0,
29,PP Chawla,9,103.84,
30,NM Coulter Nile,0,64.28,
31,BCJ Cutting,32.5,191.17,
32,Q de Kock,37.08,136.08,
33,AB de Villiers,52.84,168.79,
34,R Dhawan,0,233.33,
35,S Dhawan,38.53,116.78,
36,MS Dhoni,40.57,135.23,
37,AB Dinda,0,0,
38,JP Duminy,38.2,122.43,
39,F du Plessis,34.33,127.16,
40,ER Dwivedi,12,171.42,
41,JP Faulkner,25.66,130.5,
42,AJ Finch,39.3,131.43,
43,G Gambhir,38.53,121.89,
44,CH Gayle,22.7,151.33,
45,S Gopal,2,12.5,
46,MJ Guptill,19,103.63,
47,Gurkeerat Singh,22.6,131.39,
48,PSP Handscomb,6,50,
49,Harbhajan Singh,30.66,109.52,
50,JW Hastings,0,0,
51,TM Head,27,135,
52,MC Henriques,15.16,115.18,
53,GB Hogg,0,0,
54,JO Holder,5.5,115.78,
55,DJ Hooda,10.28,119,
56,Imran Tahir,5,71.42,
57,Iqbal Abdulla,0,137.03,
58,Ishan Kishan,8.4,102.43,
59,SS Iyer,5,69.76,
60,RA Jadeja,21.22,107.9,
61,KM Jadhav,0,131.25,
62,SB Jakati,0,50,
63,MG Johnson,2.5,35.71,
64,CJ Jordan,3,75,
65,KD Karthik,25.76,125.93,
66,S Kaushik,0,0,
67,SN Khan,33,212.9,
68,Z Khan,3,46.15,
69,UT Khawaja,21.16,127,
70,V Kohli,81.08,152.03,
71,Kuldeep Yadav,0,0,
72,DS Kulkarni,13.5,168.75,
73,B Kumar,7.16,159.25,
74,P Kumar,6,92.3,
75,CA Lynn,25,113.63,
76,MJ McClenaghan,11.33,147.82,
77,BB McCullum,22.12,135.11,
78,Mandeep Singh,0,0,
79,MR Marsh,7,63.63,
80,SE Marsh,31.8,118.65,
81,GJ Maxwell,19.88,144.35,
82,DA Miller,16.1,122.9,
83,AF Milne,0,0,
84,A Mishra,2,28.57,
85,Mohammed Shami,0,50,
86,EJG Morgan,24.6,117.14,
87,JA Morkel,16,177.77,
88,M Morkel,0,100,
89,CH Morris,65,178.89,
90,C Munro,10,100,
91,Mustafizur Rahman,0,0,
92,S Nadeem,0,20,
93,NS Naik,11.5,74.19,
94,KK Nair,35.7,120.2,
95,SP Narine,7,53.84,
96,P Negi,28.5,96.61,
97,A Nehra,0,100,
98,NV Ojha,13.6,98.55,
99,MK Pandey,31,135.51,
100,HH Pandya,6.28,69.84,
101,KH Pandya,39.5,191.12,
102,RR Pant,24.75,130.26,
103,Parvez Rasool,10,111.11,
104,AR Patel,15.85,144.15,
105,HV Patel,0,0,
106,PA Patel,17.7,116.44,
107,IK Pathan,3.66,84.61,
108,YK Pathan,72.2,145.56,
109,NLTC Perera,21.42,161.29,
110,KP Pietersen,36.5,119.67,
111,KA Pollard,25.87,143.75,
112,AM Rahane,43.63,126.64,
113,KL Rahul,44.11,146.49,
114,SK Raina,28.5,127.88,
115,AS Rajpoot,0,0,
116,N Rana,34.66,138.66,
117,AT Rayudu,30.36,120.14,
118,KW Richardson,0,100,
119,AD Russell,26.85,164.91,
120,Sachin Baby,29.75,150.63,
121,WP Saha,24.54,127.35,
122,P Sahu,19,146.15,
123,SV Samson,26.45,112.35,
124,Sandeep Sharma,0,88.88,
125,PJ Sangwan,0,0,
126,R Sathish,8,100,
127,T Shamsi,0,0,
128,Shakib Al Hasan,22.8,107.54,
129,I Sharma,0,0,
130,KV Sharma,0,120,
131,MM Sharma,8,123.07,
132,RG Sharma,44.45,132.88,
133,LMP Simmons,8,100,
134,RP Singh,0,0,
135,DR Smith,29.45,146.6,
136,SPD Smith,45,153.4,
137,TG Southee,10,157.89,
138,BB Sran,0,100,
139,DW Steyn,1,50,
140,MP Stoinis,36.5,135.18,
141,J Suchith,0,0,
142,Swapnil Singh,0,0,
143,PV Tambe,0,36.84,
144,AP Tare,4,53.33,
145,SS Tiwary,24.28,120.56,
146,JD Unadkat,0,0,
147,RV Uthappa,26.26,136.33,
148,M Vijay,34.84,124.45,
149,R Vinay Kumar,13,108.33,
150,M Vohra,23,122.9,
151,DA Warner,60.57,151.42,
152,SR Watson,13.76,133.58,
153,D Wiese,0,125,
154,KS Williamson,20.66,101.63,
155,J Yadav,3,60,
156,SA Yadav,26,127.27,
157,UT Yadav,9,180,
158,Yuvraj Singh,26.22,131.84,
159,A Zampa,0,0,
160,Krishnappa Gowtham,15.57,168.99,
161,Rashid Khan,12.89,126.09, 
162,Lungi Ngidi,6,66.66,
163,Kshitiz Sharma,13.87,97.36,
164,SP Goswami,24.79,109.07,
165,SN Thakur,6.75,128.58,
166,S Kaul,7.33,86.84,
167,MK Tiwari,15,88.24,
168,AJ Tye,8.17,116,
169,David Willey,24.91,142.63,
170,Jofra Archer,16.5,135.8,
171,BA Stokes,24.81,135.75,
172,Ish Sodhi,10.88,109.49,
173,Prashant Chopra,32.56,113.37,
