,Player,Ave,Econ,SR
1,S Ladda,0,10.5,0
2,VR Aaron,113.5,9.59,71
3,MA Agarwal,0,0,0
4,HM Amla,0,0,0
5,Ankit Sharma,84,7.63,66
6,Anureet Singh,0,7.16,0
7,S Aravind,19.63,7.4,15.9
8,A Ashish Reddy,39,10.17,23
9,M Ashwin,34.42,8.45,24.4
10,R Ashwin,31.9,7.25,26.4
11,GJ Bailey,0,0,0
12,F Behardien,0,0,0
13,R Bhatia,40.66,7.17,34
14,SW Billings,0,0,0
15,STR Binny,134,7.88,102
16,Bipul Sharma,40.33,8.64,28
17,SM Boland,27,7.71,21
18,TA Boult,39,9.75,24
19,CR Brathwaite,27,8.15,19.8
20,DJ Bravo,29.05,8.82,19.7
21,JJ Bumrah,27.06,7.8,20.8
22,JC Buttler,0,0,0
23,KC Cariappa,53,9.35,34
24,YS Chahal,19.09,8.15,14
25,Deepak Chahar,0,8.2,0
26,UBT Chand,0,0,0
27,PP Chawla,24.81,7.72,19.2
28,NM Coulter Nile,38,7.6,30
29,BCJ Cutting,16,7.16,13.4
30,Q de Kock,0,0,0
31,AB de Villiers,0,0,0
32,R Dhawan,28,8,21
33,S Dhawan,0,0,0
34,MS Dhoni,0,0,0
35,AB Dinda,21,7.57,16.6
36,JP Duminy,27.5,7.85,21
37,F du Plessis,0,0,0
38,ER Dwivedi,0,0,0
39,JP Faulkner,83.5,9.82,51
40,AJ Finch,0,0,0
41,G Gambhir,0,0,0
42,CH Gayle,31.5,6.3,30
43,S Gopal,0,6,0
44,MJ Guptill,0,0,0
45,Gurkeerat Singh,15.5,7.75,12
46,PSP Handscomb,0,0,0
47,Harbhajan Singh,43.55,8,32.6
48,JW Hastings,18.5,5.55,20
49,TM Head,0,0,0
50,MC Henriques,34.58,7.98,26
51,GB Hogg,35.5,8.87,24
52,JO Holder,51.5,7.92,39
53,DJ Hooda,32.33,7.46,26
54,Imran Tahir,27.6,8.62,19.2
55,Iqbal Abdulla,35.5,8.52,25
56,Ishan Kishan,0,0,0
57,SS Iyer,0,0,0
58,RA Jadeja,38.87,7.74,30.1
59,KM Jadhav,0,0,0
60,SB Jakati,89,8.9,60
61,MG Johnson,53,9.63,33
62,CJ Jordan,23.45,9.21,15.2
63,KD Karthik,0,0,0
64,S Kaushik,32,8.34,23
65,SN Khan,0,0,0
66,Z Khan,33.7,7.71,26.2
67,UT Khawaja,0,0,0
68,V Kohli,0,13,0
69,Kuldeep Yadav,16.66,8.33,12
70,DS Kulkarni,20.22,7.42,16.3
71,B Kumar,21.3,7.42,17.2
72,P Kumar,44.55,7.78,34.3
73,CA Lynn,0,0,0
74,MJ McClenaghan,25.64,8.17,18.8
75,BB McCullum,0,0,0
76,Mandeep Singh,0,0,0
77,MR Marsh,11.25,5,13.5
78,SE Marsh,0,0,0
79,GJ Maxwell,0,8.88,0
80,DA Miller,0,0,0
81,AF Milne,43,10.75,24
82,A Mishra,26.46,7.47,21.2
83,Mohammed Shami,48.8,9.69,30.2
84,EJG Morgan,0,0,0
85,JA Morkel,33,13.2,15
86,M Morkel,29.7,8.36,21.3
87,CH Morris,23.69,7,20.3
88,C Munro,0,7.5,0
89,Mustafizur Rahman,24.76,6.9,21.5
90,S Nadeem,63.5,8.46,45
91,NS Naik,0,0,0
92,KK Nair,0,0,0
93,SP Narine,27.63,7.12,23.2
94,P Negi,84,9.33,54
95,A Nehra,22.11,7.65,17.3
96,NV Ojha,0,0,0
97,MK Pandey,0,0,0
98,HH Pandya,51,9.18,33.3
99,KH Pandya,39.33,7.57,31.1
100,RR Pant,0,0,0
101,Parvez Rasool,129,9.21,84
102,AR Patel,29.84,8.11,22
103,HV Patel,147,10.5,84
104,PA Patel,0,0,0
105,IK Pathan,0,7.62,0
106,YK Pathan,33,5.5,36
107,NLTC Perera,36.22,9.82,22.1
108,KP Pietersen,0,0,0
109,KA Pollard,0,13.5,0
110,AM Rahane,0,0,0
111,KL Rahul,0,0,0
112,SK Raina,0,8.2,0
113,AS Rajpoot,32.66,8.9,22
114,N Rana,0,3,0
115,AT Rayudu,0,0,0
116,KW Richardson,19.42,9.71,12
117,AD Russell,19.4,7.97,14.6
118,Sachin Baby,4,4.8,5
119,WP Saha,0,0,0
120,P Sahu,48.66,8.34,35
121,SV Samson,0,0,0
122,Sandeep Sharma,24.4,7.32,20
123,PJ Sangwan,0,12.25,0
124,R Sathish,59,9.83,36
125,T Shamsi,49,9.18,32
126,Shakib Al Hasan,48.6,7.83,37.2
127,I Sharma,49.33,9.86,30
128,KV Sharma,0,10.46,0
129,MM Sharma,31.3,8.39,22.3
130,RG Sharma,0,0,0
131,LMP Simmons,0,0,0
132,RP Singh,37,9.25,24
133,DR Smith,19.12,8.5,13.5
134,SPD Smith,0,0,0
135,TG Southee,36.55,7.65,28.6
136,BB Sran,29.5,8.34,21.2
137,DW Steyn,0,8.5,0
138,MP Stoinis,24.25,8.43,17.2
139,J Suchith,0,15.5,0
140,Swapnil Singh,0,9.66,0
141,PV Tambe,28.6,8.93,19.2
142,AP Tare,0,0,0
143,SS Tiwary,0,0,0
144,JD Unadkat,0,16.33,0
145,RV Uthappa,0,0,0
146,M Vijay,0,8,0
147,R Vinay Kumar,21.33,7.11,18
148,M Vohra,0,0,0
149,DA Warner,0,0,0
150,SR Watson,24.25,8.58,16.9
151,D Wiese,0,12.25,0
152,KS Williamson,0,7,0
153,J Yadav,62.5,7.35,51
154,SA Yadav,0,0,0
155,UT Yadav,23.4,9,15.6
156,Yuvraj Singh,0,8.43,0
157,A Zampa,9.58,6.76,8.5
158,Krishnappa Gowtham,28.74,7.3,23.6
159,Rashid Khan,12.41,6.02,12.38
160,Lungi Ngidi,12.4,6.22,12
161,Kshitiz Sharma,30.5,6.77,27
162,SP Goswami,0,0,0
163,SN Thakur,26.31,8.45,18.6
164,S Kaul,23.68,7.26,19.5
165,MK Tiwari,0,0,0
166,AJ Tye,21.76,8.63,15.12
167,David Willey,22.96,7.9,17.4
168,Jofra Archer,22.14,8.12,16.3
169,BA Stokes,32.62,8.21,23.8
170,Ish Sodhi,23.58,7.67,18.4
171,Prashant Chopra,0,0,0
